PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Greystone Woods,White,2020-10-25 08:57,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-10-25 08:57,70,12,3,6,4,3,3,4,3,4,4,3,6,4,3,4,3,3,3,7
Alex,Greystone Woods,White,2020-10-25 08:57,65,7,3,5,5,3,3,3,4,2,3,4,5,4,3,4,3,3,4,4
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-10-24 10:22,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
Alex,Field of Dreams DGC,Short Tee to Yellow Basket,2020-10-24 10:22,68,9,4,3,5,4,2,5,4,4,5,4,3,3,4,2,4,6,3,3
Carolann,Field of Dreams DGC,Short Tee to Yellow Basket,2020-10-24 10:22,77,18,5,5,5,3,3,5,5,4,3,4,3,4,4,4,5,7,4,4
Brielle,Field of Dreams DGC,Short Tee to Yellow Basket,2020-10-24 10:22,95,36,6,6,4,5,3,8,6,5,5,4,4,5,6,6,6,8,4,4
Par,Thompson Park,White Tees,2020-10-18 09:45,64,,3,4,4,3,3,4,4,4,3,3,5,3,4,3,4,3,3,4
Justin,Thompson Park,White Tees,2020-10-18 09:45,66,2,3,4,4,3,2,5,5,4,3,2,7,3,4,3,4,3,4,3
Alex,Thompson Park,White Tees,2020-10-18 09:45,69,5,4,4,5,4,3,4,3,3,3,3,6,3,6,3,4,3,4,4
Graham,Thompson Park,White Tees,2020-10-18 09:45,79,15,4,5,5,3,3,5,6,6,3,4,6,4,5,4,5,3,3,5
Joe K,Thompson Park,White Tees,2020-10-18 09:45,86,22,4,6,7,4,3,5,6,4,4,4,8,4,5,3,6,3,4,6
jon pucci,Thompson Park,White Tees,2020-10-18 09:45,69,5,3,4,5,4,2,4,5,4,4,3,5,3,4,3,5,3,4,4
Par,Anson B. Nixon Park,Blue Tees (middle) to A Baskets (mach 3),2020-10-10 10:55,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Alex,Anson B. Nixon Park,Blue Tees (middle) to A Baskets (mach 3),2020-10-10 10:55,64,10,3,4,4,4,4,3,4,3,4,3,3,3,4,4,4,4,3,3
Carolann,Anson B. Nixon Park,Blue Tees (middle) to A Baskets (mach 3),2020-10-10 10:55,75,21,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4
Par,Brakewell Steel/Warwick,Silver Tees - Silver Baskets,2020-10-03 11:54,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Justin,Brakewell Steel/Warwick,Silver Tees - Silver Baskets,2020-10-03 11:54,62,8,3,6,3,3,3,3,3,4,3,3,4,3,3,4,4,3,4,3
Alex,Brakewell Steel/Warwick,Silver Tees - Silver Baskets,2020-10-03 11:54,64,10,3,6,3,3,3,3,3,3,3,3,5,3,3,4,4,4,4,4
Dan,Brakewell Steel/Warwick,Silver Tees - Silver Baskets,2020-10-03 11:54,59,5,3,5,4,3,3,3,3,3,3,4,3,3,3,2,4,3,4,3
Carolann,Brakewell Steel/Warwick,Silver Tees - Silver Baskets,2020-10-03 11:54,57,15,3,5,4,5,4,4,5,5,4,3,4,4,4,3,0,0,0,0
Par,Greystone Woods,White - Less Walking,2020-10-02 16:52,58,,3,3,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3
Alex,Greystone Woods,White - Less Walking,2020-10-02 16:52,69,11,3,2,5,4,3,4,4,7,5,3,4,4,3,4,3,3,4,4
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-26 11:32,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
Carolann,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-26 11:32,79,20,4,4,4,4,3,6,7,3,3,4,4,3,4,5,7,6,4,4
Alex,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-26 11:32,64,5,4,3,3,4,3,5,4,3,4,3,2,3,4,3,4,6,3,3
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-24 17:25,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
Carolann,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-24 17:25,53,11,5,4,4,4,3,5,5,4,5,4,3,3,4,0,0,0,0,0
Alex,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-24 17:25,49,7,4,4,4,4,4,6,4,2,3,4,3,3,4,0,0,0,0,0
Par,Greystone Woods,White,2020-09-20 09:26,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-09-20 09:26,67,9,2,6,5,4,3,2,3,3,4,3,4,4,4,6,3,4,4,3
Alex,Greystone Woods,White,2020-09-20 09:26,70,12,3,5,6,4,4,5,4,3,4,2,5,3,4,5,3,4,3,3
Par,Alcyon Woods,Short Tees,2020-09-19 14:04,62,,3,4,3,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3
Alex,Alcyon Woods,Short Tees,2020-09-19 14:04,73,11,4,5,3,5,4,5,4,5,3,4,4,4,3,5,3,3,5,4
Carolann,Alcyon Woods,Short Tees,2020-09-19 14:04,70,8,2,4,2,4,5,4,4,5,4,5,4,4,3,4,3,3,6,4
Mich ,Alcyon Woods,Short Tees,2020-09-19 14:04,48,14,4,6,3,6,6,5,5,6,4,0,0,0,0,0,3,0,0,0
Joe k,Alcyon Woods,Short Tees,2020-09-19 14:04,82,20,5,6,3,6,5,5,5,7,3,6,4,4,4,4,3,3,5,4
jon pucci,Alcyon Woods,Short Tees,2020-09-19 14:04,74,12,3,6,3,4,4,4,4,6,3,4,4,4,3,5,3,4,5,5
Par,Greystone Woods,White - Less Walking,2020-09-16 18:50,58,,3,3,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3
Alex,Greystone Woods,White - Less Walking,2020-09-16 18:50,21,2,3,3,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Par,Greystone Woods,White,2020-09-16 16:39,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-09-16 16:39,63,5,4,4,5,3,3,3,3,4,4,2,4,3,3,5,3,4,3,3
Carolann,Greystone Woods,White,2020-09-16 16:39,77,19,4,5,6,4,4,4,5,4,4,3,5,3,4,6,4,4,4,4
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-13 10:06,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
Carolann,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-13 10:06,77,18,4,4,5,4,3,6,5,4,3,4,3,3,5,3,6,6,4,5
Alex,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-13 10:06,71,12,4,5,4,3,4,7,4,3,2,3,3,3,4,3,4,7,5,3
Brielle,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-13 10:06,99,40,6,5,4,6,5,7,6,4,5,4,4,4,6,5,7,12,4,5
Par,Greystone Woods,White - Less Walking,2020-09-10 17:21,58,,3,3,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3
Alex,Greystone Woods,White - Less Walking,2020-09-10 17:21,79,21,4,3,6,4,7,3,3,6,6,5,4,3,3,5,3,5,4,5
Carolann,Greystone Woods,White - Less Walking,2020-09-10 17:21,81,23,4,5,6,3,4,4,4,6,6,5,4,4,4,7,3,4,4,4
Par,Greystone Woods,White,2020-09-06 11:40,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-09-06 11:40,70,12,4,5,6,3,4,3,5,2,3,4,4,4,3,5,4,4,3,4
Carolann,Greystone Woods,White,2020-09-06 11:40,78,20,4,6,6,4,4,4,5,4,4,3,5,4,3,6,4,4,4,4
Par,Thompson Park,White Tees,2020-09-04 12:07,64,,3,4,4,3,3,4,4,4,3,3,5,3,4,3,4,3,3,4
Alex,Thompson Park,White Tees,2020-09-04 12:07,69,5,4,4,4,4,3,4,3,4,3,4,6,3,4,4,5,3,3,4
Carolann,Thompson Park,White Tees,2020-09-04 12:07,78,14,3,4,5,4,4,5,4,4,4,3,6,5,6,3,5,4,4,5
Par,Field of Dreams DGC,Short Tee to Yellow Basket,2020-09-02 16:35,59,,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3
